,id,smiles,value_type,value,units
334,CHEMBL3323683,CCCCCc1cc(O)cc(OCCCCCCCCCCC(=O)NCC(F)(F)F)c1,Ki,96.3,nM
336,CHEMBL1223591,CCCCC1=NN(C(=O)NC(C)(C)c2ccc(F)cc2)CC1c1ccccc1F,Ki,89.0,nM
341,CHEMBL2206837,CCCn1c(C)c(C(=O)c2ccc(I)c3ccccc23)c2ccccc21,Ki,20.0,nM
342,CHEMBL4208217,CCCCC/C=C\C/C=C\C/C=C\[C@H](C)/C=C\CCCC(=O)NCCO,Ki,24.7,nM
350,CHEMBL226386,O=C(NCC1CCCC1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F,EC50,80.0,nM
351,CHEMBL226067,O=C(NCC1CCCCC1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F,EC50,80.0,nM
357,CHEMBL228348,CCCCCc1cc(O)cc(OCCCCCCCCCCC(=O)NCC2CC2)c1,Ki,80.0,nM
358,CHEMBL334533,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@H]1CC=C(CO)C[C@H]21,Ki,0.15,nM
365,CHEMBL74415,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,Ki,96.0,nM
372,CHEMBL72163,COc1ccc2c(c1)c(CC(=O)N1CCOCC1)c(C)n2C(=O)c1c(Cl)cccc1Cl,Ki,59.0,nM
373,CHEMBL274833,Cc1c(C(=O)c2cccc3ccccc23)c2ccccc2n1CCN1CCOCC1,Ki,14.0,nM
374,CHEMBL261381,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)c(Cl)c2)c1-n1cccc1,Ki,20.0,nM
375,CHEMBL261382,Cc1c(C(=O)NC2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-n1c(C)ccc1C,Ki,87.0,nM
378,CHEMBL467029,Cn1nc(C(C)(C)C)cc1NC(=O)C(C)(C)S(=O)(=O)c1ccc(Cl)cc1,EC50,26.0,nM
380,CHEMBL506707,CC(C)(C(=O)Nc1ccc(Cl)c(Br)c1)S(=O)(=O)c1ccc(Cl)cc1,EC50,86.0,nM
386,CHEMBL117033,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C3(C4CCCCC4)SCCS3)cc1OC2(C)C,Ki,1.05,nM
387,CHEMBL525381,CCCCCCc1cc(O)c2c(c1)OC(C)(C)C1=C2CCN(C)C1,Ki,1.78,nM
389,CHEMBL524822,CCCCCn1c(C)c(C(=O)c2c(OC)ccc3ccccc23)c2ccccc21,Ki,40.0,nM
390,CHEMBL498470,Fc1ccc(-c2noc(CCCCc3ccc4ncccc4c3)n2)c(Cl)c1,EC50,49.0,nM
398,CHEMBL3922001,Cc1cccc(-c2c(O)cc(C(C)(C)c3ccccc3)cc2O)c1,Ki,2.3,nM
399,CHEMBL3950898,CC(C)(c1ccccc1)c1ccc(-c2cc(Cl)cc(Cl)c2)c(O)c1,Ki,1.4,nM
400,CHEMBL3911366,O=C(NN1CCCCC1)c1cccc(-c2cccc(Cl)c2)n1,EC50,63.6,nM
402,CHEMBL3943604,Cc1nc([C@@H](NC(=O)c2cccc(-c3ccc(F)c(Cl)c3)n2)C2CC2)no1,EC50,24.9,nM
404,CHEMBL3930486,CC(C)C[C@@H](CO)NC(=O)c1ccc(C2CC2)c(OCC(F)(F)F)n1,EC50,38.0,nM
405,CHEMBL3966497,Cc1nc([C@H](CC(C)C)NC(=O)c2cccc(C(O)c3ccc(F)cc3)n2)no1,EC50,25.1,nM
411,CHEMBL3898362,O=S(=O)(NCC1CC1)c1ccc(Nc2ccccc2)cc1C(F)(F)F,Ki,90.0,nM
412,CHEMBL3922890,O=S(=O)(NCC1CCCO1)c1ccc(Nc2ccc(Cl)cc2Cl)cc1C(F)(F)F,Ki,38.0,nM
413,CHEMBL3912856,COc1cc(Nc2ccc(S(=O)(=O)NCC3CC3)cc2)cc(OC)c1,IC50,11.0,nM
415,CHEMBL194999,C[C@H](NS(C)(=O)=O)c1ccc(S(=O)(=O)c2ccccc2S(=O)(=O)c2ccc(Cl)cc2)cc1,Ki,58.0,nM
416,CHEMBL198246,C[C@H](NS(C)(=O)=O)c1ccc(S(=O)(=O)c2ccc(C(F)(F)F)cc2S(=O)(=O)c2ccccc2F)cc1,Ki,0.9,nM
418,CHEMBL201989,CCCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc([N+](=O)[O-])cc3)c(O)nc12,IC50,100.0,nM
420,CHEMBL4458732,Cc1ccc(-c2cc3ncccc3c3cc(C(=O)NC45CC6CC(CC(C6)C4)C5)nn23)cc1,Ki,33.0,nM
424,CHEMBL3590632,CCCCN1C(=O)/C(=C/NC(C)(C)C)C(=O)c2cccc(C)c21,EC50,20.0,nM
429,CHEMBL4071007,Cc1cc(-c2cc(C(=O)NC3CCCCCC3)c(=O)n(Cc3ccc(F)cc3)n2)ccc1Cl,Ki,4.9,nM
431,CHEMBL3975486,Cc1nc(C(C)(CC2CC2)NC(=O)c2cc(O[C@@H](C)C(F)(F)F)c(C3CC3)cn2)no1,EC50,0.6,nM
432,CHEMBL3893170,Cc1nc(C(C)(CS(C)(=O)=O)NC(=O)c2cc(O[C@@H](C)C(F)(F)F)c(C3CC3)cn2)no1,EC50,3.4,nM
434,CHEMBL3918285,Cc1nnc(C(NC(=O)c2cc(OCC(F)(F)F)c(C3CC3)cn2)C(C)(C)C)o1,EC50,10.5,nM
436,CHEMBL602128,CCC(C)(C)C(=O)Nc1cc(C)c(C)c(S(=O)(=O)N2CCSC2)c1,Ki,6.9,nM
438,CHEMBL232730,CSC(=S)N1CC(C)(C)CS/C1=N\c1ccccc1C(C)C,Ki,9.0,nM
443,CHEMBL1814470,CCCCCOc1cccc2c(=O)c(C(=O)NC34CC5CC(CC(C5)C3)C4)c[nH]c12,Ki,60.0,nM
444,CHEMBL1765268,O=C(c1ccc(OCC(F)(F)F)nc1)N1CC[C@@](O)(c2ccccc2)[C@@H]2CCCC[C@@H]21,IC50,16.0,nM
445,CHEMBL1765281,O=C(c1ccc(C(F)(F)F)nc1)N1CC[C@@](O)(c2ccccc2)[C@@H]2CCCC[C@@H]21,IC50,12.0,nM
450,CHEMBL1760935,O=C(NCC1(CO)CCCC1)c1nc(CN2CCC(F)(F)CC2)n2ccccc12,IC50,3.0,nM
453,CHEMBL2152807,C=Cn1cc(C(=O)N[C@@H]2C(C)(C)C3CC[C@]2(C)C3)c(=O)c2ccc(F)cc21,Ki,15.2,nM
454,CHEMBL2316262,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)n2nc(-c3ccccc3)nc12,Ki,3.58,nM
455,CHEMBL2316282,CCCCCn1cc(C(=O)NC2CCCCC2)c(=O)c2c(C)csc21,Ki,12.3,nM
458,CHEMBL232538,CSC(=S)N1CC2(CCCCC2)CS/C1=N\c1cccc2nonc12,Ki,0.9,nM
459,CHEMBL391561,CCC1(CC)CS/C(=N\c2ccccc2C(C)C)N(C(=S)SC)C1,Ki,9.0,nM
468,CHEMBL569949,Clc1cccc(-c2ccc(N3CCCOCC3)nc2)c1Cl,EC50,63.1,nM
478,CHEMBL1641960,CCCCCn1cc(C(=O)NC2CCCCC2)c(=S)cc1-c1ccccc1,Ki,48.0,nM
479,CHEMBL1641963,CCCC(C)(C)c1ccc2c(c1)OC(C)(C)[C@@H]1CC=C(O)C[C@@H]21,Ki,20.3,nM
480,CHEMBL1641953,CCCCCn1cc(C(=O)NC2CCCCC2)c(=O)cc1-c1ccc(Cl)cc1,EC50,22.0,nM
481,CHEMBL261495,CCCCCC(C)(C)c1ccc([C@@H]2CCC[C@@H](O)C2)cc1,EC50,39.6,nM
483,CHEMBL271810,COC(=O)c1ccc2c(C(=O)C3C(C)(C)C3(C)C)cn(CC3CCOCC3)c2c1,Ki,1.4,nM
484,CHEMBL270968,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(CN)ccc23)C1(C)C,Ki,62.0,nM
486,CHEMBL259462,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(N)cc23)C1(C)C,Ki,9.3,nM
487,CHEMBL410842,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cccc(OCc4ccccc4)c23)C1(C)C,Ki,9.333,nM
488,CHEMBL408964,COc1cccc2c1c(C(=O)C1C(C)(C)C1(C)C)cn2CC1CCOCC1,Ki,3.3,nM
489,CHEMBL271839,Cc1ccc2c(C(=O)C3C(C)(C)C3(C)C)cn(CC3CCOCC3)c2c1,Ki,0.15,nM
490,CHEMBL408430,CN1CCCCC1Cn1cc(C(=O)c2cc([N+](=O)[O-])ccc2I)c2ccccc21,Ki,11.48,nM
491,CHEMBL3647330,C=C=CCn1cc(C(C)(C)C)s/c1=N\C(=O)c1cc(C(F)(F)F)ccc1ONC(C)(C)C,Ki,17.0,nM
498,CHEMBL410912,Cc1c(C(=O)NC2CCCCC2)nn(-c2ccc(F)cc2F)c1-n1cccc1,IC50,83.0,nM
502,CHEMBL181633,COc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3cc(I)ccc23)cc1,Ki,36.0,nM
504,CHEMBL410655,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(C#N)ccc23)C1(C)C,Ki,5.0,nM
505,CHEMBL272189,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(-c4ccccc4)cc23)C1(C)C,Ki,58.88,nM
507,CHEMBL271814,CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c3cccc(N)c23)C1(C)C,Ki,32.36,nM
508,CHEMBL136120,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)CCCCOc3ccc(C#N)cc3)cc1OC2(C)C,Ki,1.1,nM
509,CHEMBL206859,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C3(C#N)CCCC3)cc1OC2(C)C,Ki,25.12,nM
513,CHEMBL408123,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(Cc3ccccc3)cc1OC2(C)C,Ki,85.9,nM
526,CHEMBL1835131,CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCCCC4)n3)cc2)C1=O,EC50,2.512,nM
532,CHEMBL2338183,O=C(N1CCc2cc(F)ccc21)C12CC3CC(CC(C3)C1)C2,EC50,4.6,nM
540,CHEMBL398907,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(Oc3ccccc3)cc1OC2(C)C,Ki,23.6,nM
544,CHEMBL490035,CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCCCCCC(=O)NCCO)c1,Ki,80.0,nM
545,CHEMBL484888,CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCCCCC(=O)NCC2CC2)c1,Ki,35.0,nM
553,CHEMBL109393,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,Ki,2.24,nM
558,CHEMBL410676,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(Cl)cc23)C1(C)C,EC50,92.0,nM
561,CHEMBL399949,CCCCN(C)C(=O)c1ccc2c(c1)c1c(n2S(=O)(=O)CC)CN(C2CCCC2)C1,EC50,4.0,nM
565,CHEMBL1762286,CC(C)CCC(=O)N1CCCN(C(=O)Nc2ccc(C(C)(C)C)cc2)CC1,EC50,96.0,nM
571,CHEMBL400051,CC(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCCC1)C2,Ki,88.1,nM
572,CHEMBL498346,CCCCCC(C)(C)c1cc(OC)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,Ki,18.0,nM
576,CHEMBL525380,CCCCCN1C(=O)/C(=N\NC(=O)C2CCCCC2)c2ccc(OC)cc21,EC50,28.7,nM
579,CHEMBL558932,CC(C)(C)Cc1nc2c(n1CC1CC1)CCN(S(=O)(=O)c1cccnc1)C2,EC50,24.5,nM
